------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[  5]  8.0- 9.0 sec  1.15 MBytes  9.66 Mbits/sec
[  6]  8.0- 9.0 sec  1004 KBytes  8.22 Mbits/sec
[  8]  8.0- 9.0 sec  1.61 MBytes  13.5 Mbits/sec
[  7]  8.0- 9.0 sec  4.34 MBytes  36.4 Mbits/sec
[ 10]  8.0- 9.0 sec  1.59 MBytes  13.4 Mbits/sec
[  9]  8.0- 9.0 sec  1.59 MBytes  13.3 Mbits/sec
[ 11]  8.0- 9.0 sec  1.54 MBytes  12.9 Mbits/sec
[ 12]  8.0- 9.0 sec  1.57 MBytes  13.1 Mbits/sec
[  5]  9.0-10.0 sec  1.08 MBytes  9.06 Mbits/sec
[  7]  9.0-10.0 sec  5.89 MBytes  49.4 Mbits/sec
[ 10]  9.0-10.0 sec  1.33 MBytes  11.1 Mbits/sec
[  9]  9.0-10.0 sec  1.33 MBytes  11.2 Mbits/sec
[ 11]  9.0-10.0 sec  1.21 MBytes  10.2 Mbits/sec
[ 12]  9.0-10.0 sec  1.23 MBytes  10.3 Mbits/sec
[  8]  9.0-10.0 sec  1.44 MBytes  12.1 Mbits/sec
[  6]  9.0-10.0 sec  1010 KBytes  8.27 Mbits/sec
[  4]  9.0-10.0 sec   806 KBytes  6.60 Mbits/sec
[  4] 10.0-11.0 sec   662 KBytes  5.42 Mbits/sec
[  5] 10.0-11.0 sec   928 KBytes  7.60 Mbits/sec
[  6] 10.0-11.0 sec   846 KBytes  6.93 Mbits/sec
[  7] 10.0-11.0 sec  6.24 MBytes  52.3 Mbits/sec
[  8] 10.0-11.0 sec  1.26 MBytes  10.5 Mbits/sec
[ 10] 10.0-11.0 sec  1.25 MBytes  10.5 Mbits/sec
[  9] 10.0-11.0 sec  1.23 MBytes  10.3 Mbits/sec
[ 11] 10.0-11.0 sec  1.24 MBytes  10.4 Mbits/sec
[ 12] 10.0-11.0 sec  1.27 MBytes  10.7 Mbits/sec
