------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[  6]  8.0- 9.0 sec   591 KBytes  4.84 Mbits/sec
[  9]  8.0- 9.0 sec  1.90 MBytes  15.9 Mbits/sec
[  8]  8.0- 9.0 sec   317 KBytes  2.59 Mbits/sec
[ 10]  8.0- 9.0 sec   854 KBytes  7.00 Mbits/sec
[  7]  8.0- 9.0 sec  1.94 MBytes  16.3 Mbits/sec
[ 12]  8.0- 9.0 sec  1.35 MBytes  11.4 Mbits/sec
[ 11]  8.0- 9.0 sec  7.31 MBytes  61.3 Mbits/sec
[  4]  8.0- 9.0 sec  9.54 MBytes  80.0 Mbits/sec
[  4]  9.0-10.0 sec  14.0 MBytes   117 Mbits/sec
[  5]  9.0-10.0 sec  2.96 MBytes  24.9 Mbits/sec
[  6]  9.0-10.0 sec   396 KBytes  3.24 Mbits/sec
[  9]  9.0-10.0 sec  2.36 MBytes  19.8 Mbits/sec
[  7]  9.0-10.0 sec  1.90 MBytes  16.0 Mbits/sec
[ 10]  9.0-10.0 sec   542 KBytes  4.44 Mbits/sec
[ 11]  9.0-10.0 sec  9.16 MBytes  76.8 Mbits/sec
[  8]  9.0-10.0 sec   223 KBytes  1.83 Mbits/sec
[ 12]  9.0-10.0 sec   789 KBytes  6.46 Mbits/sec
