------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 37002
[  5] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 47286
[  6] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 41233
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec   592 KBytes  4.85 Mbits/sec
[  5]  0.0- 1.0 sec   380 KBytes  3.12 Mbits/sec
[  6]  0.0- 1.0 sec   211 KBytes  1.73 Mbits/sec
[  4]  1.0- 2.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  1.0- 2.0 sec   382 KBytes  3.13 Mbits/sec
[  6]  1.0- 2.0 sec   206 KBytes  1.69 Mbits/sec
[  4]  2.0- 3.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  2.0- 3.0 sec   424 KBytes  3.48 Mbits/sec
[  6]  2.0- 3.0 sec   156 KBytes  1.27 Mbits/sec
[  4]  3.0- 4.0 sec   594 KBytes  4.87 Mbits/sec
[  5]  3.0- 4.0 sec   311 KBytes  2.55 Mbits/sec
[  6]  3.0- 4.0 sec   272 KBytes  2.22 Mbits/sec
[  4]  4.0- 5.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  4.0- 5.0 sec   537 KBytes  4.40 Mbits/sec
[  6]  4.0- 5.0 sec  45.2 KBytes   371 Kbits/sec
[  4]  5.0- 6.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  5.0- 6.0 sec   325 KBytes  2.66 Mbits/sec
[  6]  5.0- 6.0 sec   260 KBytes  2.13 Mbits/sec
[  4]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec
[  6]  6.0- 7.0 sec   257 KBytes  2.11 Mbits/sec
[  5]  6.0- 7.0 sec   339 KBytes  2.78 Mbits/sec
[  4]  7.0- 8.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  7.0- 8.0 sec   269 KBytes  2.20 Mbits/sec
[  6]  7.0- 8.0 sec   297 KBytes  2.43 Mbits/sec
[  4]  8.0- 9.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  8.0- 9.0 sec   495 KBytes  4.05 Mbits/sec
[  4]  9.0-10.0 sec   580 KBytes  4.75 Mbits/sec
[  5]  9.0-10.0 sec   580 KBytes  4.75 Mbits/sec
[  6]  8.0- 9.0 sec  90.5 KBytes   741 Kbits/sec
[  6]  9.0-10.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec
[  6] 10.0-11.0 sec   139 KBytes  1.14 Mbits/sec
[  5] 10.0-11.0 sec   467 KBytes  3.82 Mbits/sec
[  4] 11.0-12.0 sec   580 KBytes  4.75 Mbits/sec
[  6] 11.0-12.0 sec   359 KBytes  2.94 Mbits/sec
[  5] 11.0-12.0 sec   226 KBytes  1.85 Mbits/sec
[  4] 12.0-13.0 sec   580 KBytes  4.75 Mbits/sec
[  5] 12.0-13.0 sec   523 KBytes  4.29 Mbits/sec
[  6] 12.0-13.0 sec  45.2 KBytes   371 Kbits/sec
[  4] 13.0-14.0 sec   594 KBytes  4.87 Mbits/sec
[  6] 13.0-14.0 sec   441 KBytes  3.61 Mbits/sec
[  5] 13.0-14.0 sec   156 KBytes  1.27 Mbits/sec
[  6] 14.0-15.0 sec  87.7 KBytes   718 Kbits/sec
[  6] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 16.0-17.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 17.0-18.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 18.0-19.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 19.0-20.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 20.0-21.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 21.0-22.0 sec  2.83 KBytes  23.2 Kbits/sec
[  6] 22.0-23.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 23.0-24.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 24.0-25.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 14.0-15.0 sec  56.6 KBytes   463 Kbits/sec
[  5] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 16.0-17.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 17.0-18.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 18.0-19.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 19.0-20.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 20.0-21.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 21.0-22.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 22.0-23.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 23.0-24.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 24.0-25.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 14.0-15.0 sec   113 KBytes   927 Kbits/sec
[  4] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
