------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (WARNING: requested 64.0 KByte)
[  8]  8.0- 9.0 sec  65.0 KBytes   533 Kbits/sec
[  9]  8.0- 9.0 sec  65.0 KBytes   533 Kbits/sec
[ 10]  8.0- 9.0 sec  65.0 KBytes   533 Kbits/sec
[ 12]  8.0- 9.0 sec  65.0 KBytes   533 Kbits/sec
[ 11]  8.0- 9.0 sec  62.2 KBytes   510 Kbits/sec
[  4]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[  5]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[  7]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[  6]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[  8]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[  9]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[ 10]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[ 12]  9.0-10.0 sec  65.0 KBytes   533 Kbits/sec
[ 11]  9.0-10.0 sec  62.2 KBytes   510 Kbits/sec
[  4] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[  5] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[  6] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[  7] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[  8] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[  9] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[ 10] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[ 12] 10.0-11.0 sec  65.0 KBytes   533 Kbits/sec
[ 11] 10.0-11.0 sec  62.2 KBytes   510 Kbits/sec
[  4] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[  7] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[  5] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[  6] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[  8] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[  9] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[ 10] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
