------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[  5]  8.0- 9.0 sec  3.87 MBytes  32.5 Mbits/sec
[  6]  8.0- 9.0 sec  1.88 MBytes  15.8 Mbits/sec
[  7]  8.0- 9.0 sec  1.94 MBytes  16.3 Mbits/sec
[  8]  8.0- 9.0 sec  7.04 MBytes  59.1 Mbits/sec
[ 10]  8.0- 9.0 sec  1.76 MBytes  14.8 Mbits/sec
[  9]  8.0- 9.0 sec  2.25 MBytes  18.8 Mbits/sec
[ 12]  8.0- 9.0 sec  1.18 MBytes  9.87 Mbits/sec
[ 11]  8.0- 9.0 sec  1.64 MBytes  13.8 Mbits/sec
[  4]  9.0-10.0 sec  2.39 MBytes  20.1 Mbits/sec
[  5]  9.0-10.0 sec  3.76 MBytes  31.5 Mbits/sec
[  6]  9.0-10.0 sec  1.85 MBytes  15.5 Mbits/sec
[  7]  9.0-10.0 sec  1.88 MBytes  15.7 Mbits/sec
[  8]  9.0-10.0 sec  6.69 MBytes  56.1 Mbits/sec
[ 12]  9.0-10.0 sec  1.20 MBytes  10.1 Mbits/sec
[ 11]  9.0-10.0 sec  1.65 MBytes  13.8 Mbits/sec
[ 10]  9.0-10.0 sec  1.75 MBytes  14.7 Mbits/sec
[  9]  9.0-10.0 sec  2.20 MBytes  18.5 Mbits/sec
[ 11] 10.0-11.0 sec  2.15 MBytes  18.1 Mbits/sec
