num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
32,47.5342350006,53.7514078617,52.9180040359,44.0725169182,60000,43.090,47.044,40.287,40.272,46.664,44.619,46.745,38.957,42.814,28.722,52.974,53.172,50.832,51.770,52.706,41.323,49.658,52.451,50.532,50.534,49.056,47.640,52.247,44.280,41.052,44.523,50.531,29.117,29.263,41.951,43.569,41.951,42.011,42.289,36.375,38.913
33,46.3978228569,52.2114388943,47.6007180214,42.4457919598,60000,35.072,42.846,45.902,42.556,44.533,41.813,38.542,44.460,31.724,31.250,46.829,49.983,46.772,49.732,51.704,40.819,49.644,44.921,30.302,45.771,45.009,46.799,42.993,45.955,40.112,42.622,46.878,24.917,38.010,39.084,41.296,38.611,30.112,40.637,41.906,41.711
34,48.0941700935,44.186496973,50.3924820423,43.6647601128,60000,32.634,41.623,41.336,46.605,46.123,41.670,46.822,47.493,46.312,27.502,41.483,40.706,43.509,34.180,42.511,36.042,43.717,38.348,44.163,38.252,48.392,49.842,43.208,45.395,48.292,49.753,48.040,24.488,41.349,42.833,33.156,39.631,43.122,41.313,39.658,39.793
35,44.8035349846,47.3795030117,46.9793419838,45.1794238091,60000,38.678,37.445,44.241,23.835,44.043,41.336,40.839,39.017,42.451,26.145,40.837,46.842,45.418,42.213,43.694,46.701,41.996,44.049,43.820,43.095,34.419,46.491,46.060,46.020,41.772,40.428,45.672,28.757,44.568,43.272,43.738,32.555,44.608,43.541,40.033,42.135
36,47.9332239628,44.794451952,51.5596108437,43.9293069839,60000,40.411,40.230,44.941,46.023,40.557,43.549,47.385,47.106,47.102,27.523,41.823,43.914,37.641,44.144,31.343,40.676,43.422,43.592,49.622,41.609,44.209,49.748,48.485,49.227,38.498,51.100,50.750,29.571,43.437,30.788,40.455,39.957,38.291,41.004,39.011,41.807
37,47.1016530991,50.4595971107,51.5819449425,48.245401144,60000,46.610,45.634,45.289,39.229,40.730,33.048,45.137,40.396,42.487,29.945,48.887,42.135,41.085,47.105,48.853,45.784,49.833,47.933,45.030,50.393,46.128,44.919,51.058,50.962,46.151,49.429,48.421,26.807,45.863,38.118,45.803,46.434,46.503,44.143,42.043,47.491
38,47.2658810616,46.1217551231,49.7017979622,46.003880024,60000,44.618,40.759,46.668,45.223,42.349,35.012,43.847,44.081,40.137,26.915,42.680,43.461,37.835,45.601,45.317,44.994,44.716,35.562,47.499,47.924,48.518,42.109,42.157,42.305,49.020,45.788,48.869,25.711,42.973,41.517,42.021,41.864,44.133,43.516,38.436,45.244
39,46.0122959614,45.1455271244,48.6602811813,45.64646101,60000,42.066,40.260,41.871,43.394,32.299,40.549,36.429,45.453,45.293,33.431,44.531,37.248,36.900,42.021,40.519,44.201,38.182,43.061,39.320,45.243,47.830,48.133,44.047,45.587,37.802,47.982,41.833,26.875,41.311,45.122,43.475,40.900,43.695,39.086,43.524,32.854
40,46.2445979118,49.133867979,51.0035340786,45.9744508266,60000,39.611,45.656,38.730,45.399,37.602,45.726,43.417,41.562,44.286,27.244,48.572,46.940,44.201,46.664,37.358,47.015,41.249,40.696,44.345,40.390,50.440,45.034,47.755,46.964,49.108,49.408,46.588,29.776,43.299,42.863,43.499,39.066,37.454,38.634,41.751,45.279
41,48.5656189919,45.0571680069,47.0577459335,45.6558430195,60000,43.963,43.624,46.089,43.588,48.011,38.279,45.203,47.982,47.184,27.884,38.965,44.677,43.599,43.416,39.390,37.918,34.697,41.803,36.164,46.512,45.327,46.056,43.220,31.204,44.986,42.871,35.425,28.173,45.235,38.363,40.116,42.241,43.441,41.173,44.845,42.817
