num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
82,50.2007660866,52.5465159416,51.816478014,48.8189680576,60000,44.945,46.390,40.625,46.976,43.211,49.623,48.021,45.029,46.398,31.441,52.129,49.980,49.981,49.208,51.439,51.288,42.471,49.253,47.396,47.112,49.359,47.209,43.020,47.353,48.523,51.044,51.163,16.256,45.362,47.632,48.332,48.202,47.238,38.200,47.947,43.055
83,47.0664050579,51.7545609474,47.5311191082,46.9448189735,60000,38.292,37.320,43.357,42.470,45.123,46.559,46.330,45.002,45.492,28.781,48.527,47.672,48.067,50.949,49.782,51.219,46.869,50.188,37.121,41.846,46.993,47.039,29.226,44.326,43.726,45.454,45.788,14.659,44.985,44.005,45.399,45.052,37.861,40.152,46.388,42.286
84,47.4354379177,50.5407969952,51.2828299999,47.5415439606,60000,43.831,45.949,45.713,41.915,46.947,45.292,41.380,39.603,36.916,26.933,44.860,39.639,50.054,47.906,48.365,49.175,47.578,46.914,32.554,49.035,43.007,48.792,50.676,50.600,43.887,47.988,49.432,15.008,44.783,47.068,38.932,45.072,42.331,45.215,45.673,39.456
85,46.3615500927,46.4944741726,46.1573359966,44.2848939896,60000,44.020,45.802,38.579,41.928,45.712,44.229,34.002,40.987,38.119,32.926,43.919,41.875,45.216,45.937,45.308,44.390,38.204,42.836,41.960,45.715,43.762,41.587,41.896,32.636,41.232,41.578,44.322,16.751,42.523,41.989,41.931,34.268,38.725,43.806,41.792,36.903
86,46.6270539761,48.8573131561,51.8638699055,42.7662348747,60000,42.977,34.885,44.587,38.764,44.243,42.462,46.133,45.156,45.847,30.224,43.995,45.935,46.571,43.900,40.984,45.371,47.919,48.172,36.837,50.796,50.070,48.444,51.296,51.440,48.231,44.953,48.494,17.688,42.399,42.089,40.261,40.141,34.209,37.424,35.632,41.115
87,37.2538599968,51.4620261192,49.8709299564,29.0493149757,60000,32.795,34.203,34.350,36.325,31.326,29.883,36.664,34.952,35.851,32.299,49.898,49.729,42.540,46.255,43.744,50.339,50.351,50.672,40.267,42.079,47.712,49.358,48.951,47.585,41.475,47.191,42.305,16.469,23.690,27.528,26.535,24.052,28.439,26.268,25.226,28.381
88,45.9612400532,50.0103759766,53.1316380501,46.3044359684,60000,43.199,42.593,38.079,45.323,34.640,44.402,36.483,45.516,43.130,31.886,49.034,49.075,43.765,49.215,43.429,44.156,49.409,46.701,50.125,38.132,52.105,52.610,50.507,51.074,50.050,51.685,48.872,15.501,39.898,41.176,42.870,45.101,34.971,41.855,45.671,40.273
89,46.8988230228,48.1414501667,51.61927104,47.9925189018,60000,43.817,45.164,43.563,45.961,45.693,35.181,44.483,46.134,32.026,34.542,42.796,47.421,37.509,46.246,47.651,47.526,41.227,45.402,36.996,49.003,51.098,46.171,48.865,48.663,46.436,42.350,43.898,15.445,47.635,45.688,37.976,45.781,40.065,46.066,46.023,45.259
90,47.4615690708,49.7163882256,51.9552779198,45.4524030685,60000,45.170,37.652,38.463,46.924,43.158,44.249,40.099,45.252,43.093,29.214,42.766,47.292,48.939,44.039,47.121,47.520,49.140,40.352,31.056,51.460,48.130,49.198,44.651,49.094,48.204,49.545,40.872,15.861,44.977,42.393,44.322,42.781,44.659,40.376,43.791,37.619
91,44.6952359676,46.4640340805,50.77582407,48.4611239433,60000,41.521,33.170,44.114,43.763,44.211,41.935,35.968,42.597,39.836,31.256,38.052,39.283,44.024,44.372,45.646,41.299,45.926,45.336,39.948,47.960,49.845,50.302,42.753,48.682,48.666,47.533,38.242,14.915,40.869,46.818,44.157,46.589,47.988,47.786,45.930,42.608
92,44.6672620773,52.6665000916,52.4507539272,46.3988099098,60000,37.300,30.099,43.354,36.738,43.347,42.360,37.811,43.414,43.975,30.753,52.079,44.639,50.033,50.713,51.075,47.795,43.468,51.987,33.777,51.887,51.895,49.124,45.296,49.601,45.135,50.500,49.375,15.659,45.900,38.393,42.796,45.661,44.399,45.084,44.778,36.496
93,47.5162909031,51.6671628952,48.7239539623,47.0256099701,60000,46.655,39.361,41.854,42.607,42.322,43.699,46.435,44.700,46.786,32.455,49.633,46.059,48.726,49.744,42.069,45.551,50.764,50.944,35.977,44.447,48.152,48.239,44.955,47.824,47.848,47.020,37.582,16.760,46.423,43.907,46.635,39.060,40.436,43.265,45.479,45.014
94,44.8013079166,47.8099451065,49.4165189266,40.7829787731,60000,42.530,31.928,40.496,40.136,44.109,44.295,42.729,38.226,39.546,34.058,39.796,44.227,42.434,44.734,45.133,47.078,47.302,35.975,32.812,42.374,45.644,48.221,48.296,46.005,47.832,44.627,48.704,18.866,38.880,39.464,38.441,29.744,38.287,34.169,40.238,37.838
95,47.5443871021,51.9822649956,45.9887630939,48.0130138397,60000,46.867,41.388,43.986,28.175,45.972,42.907,46.475,47.016,44.339,33.733,43.510,51.580,46.490,51.195,50.740,50.041,50.472,51.289,30.308,35.868,37.743,45.418,42.961,44.575,43.725,45.490,43.446,17.832,40.091,44.921,42.431,42.425,46.596,47.517,41.598,46.878
96,46.4514160156,49.5445439816,48.7526738644,44.3358931541,60000,37.021,40.523,40.682,45.303,43.536,43.421,33.391,45.918,45.528,34.018,47.724,38.175,46.483,46.070,49.009,44.444,47.780,45.437,33.281,48.041,47.950,48.181,44.779,46.356,48.234,47.717,38.416,17.262,43.919,42.930,41.668,29.609,42.476,41.792,37.763,43.344
97,45.4778158665,50.9519031048,49.5350220203,47.2475721836,60000,44.937,36.400,40.216,42.260,36.534,41.074,43.304,38.136,40.654,35.884,47.177,49.008,45.216,47.671,49.048,46.399,39.693,50.223,48.256,48.954,41.210,43.529,46.607,47.609,47.076,42.466,48.912,16.447,46.559,41.645,46.478,41.038,46.802,46.181,39.985,44.834
98,51.6538898945,51.9885809422,49.547852993,50.0566060543,60000,44.028,49.635,47.316,49.219,37.585,47.040,51.110,47.469,46.984,30.956,48.053,40.400,50.591,48.959,50.071,47.498,50.739,51.299,32.121,46.766,46.208,48.950,41.459,39.980,48.878,48.440,47.276,15.914,49.606,41.583,48.212,48.146,47.834,46.417,42.565,44.444
99,48.3111901283,52.4029769897,50.0991649628,47.2068889141,60000,40.199,42.158,45.128,35.421,47.628,47.725,47.709,45.925,43.415,33.607,49.198,47.213,50.392,51.946,46.952,42.505,50.657,47.323,32.752,42.900,48.719,48.911,49.721,37.707,47.657,45.288,47.428,17.428,46.622,42.642,36.841,43.616,45.367,44.776,42.435,45.051
100,44.2886371613,50.3997519016,48.7306690216,46.1262948513,60000,37.827,32.680,41.416,30.281,43.840,41.099,43.112,40.573,42.921,30.541,48.064,46.308,40.854,49.046,46.408,48.472,41.734,49.661,35.013,43.492,40.939,34.118,47.019,47.086,46.709,48.224,46.421,15.756,42.359,35.805,38.354,44.469,45.085,43.277,40.941,45.504
