------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[  7]  8.0- 9.0 sec  2.89 MBytes  24.3 Mbits/sec
[  6]  8.0- 9.0 sec   868 KBytes  7.11 Mbits/sec
[  5]  8.0- 9.0 sec  2.57 MBytes  21.5 Mbits/sec
[  8]  8.0- 9.0 sec  2.79 MBytes  23.4 Mbits/sec
[  9]  8.0- 9.0 sec  2.28 MBytes  19.1 Mbits/sec
[ 10]  8.0- 9.0 sec  1.38 MBytes  11.6 Mbits/sec
[ 11]  8.0- 9.0 sec  1.48 MBytes  12.4 Mbits/sec
[ 12]  8.0- 9.0 sec  1.75 MBytes  14.6 Mbits/sec
[  4]  9.0-10.0 sec  1.76 MBytes  14.7 Mbits/sec
[  7]  9.0-10.0 sec  2.88 MBytes  24.2 Mbits/sec
[  8]  9.0-10.0 sec  2.90 MBytes  24.4 Mbits/sec
[  5]  9.0-10.0 sec  2.72 MBytes  22.9 Mbits/sec
[  9]  9.0-10.0 sec  2.31 MBytes  19.4 Mbits/sec
[  6]  9.0-10.0 sec  1.07 MBytes  8.99 Mbits/sec
[ 10]  9.0-10.0 sec  1.60 MBytes  13.5 Mbits/sec
[ 11]  9.0-10.0 sec  1.63 MBytes  13.7 Mbits/sec
[ 12]  9.0-10.0 sec  1.79 MBytes  15.0 Mbits/sec
[  4] 10.0-11.0 sec  1.80 MBytes  15.1 Mbits/sec
[  6] 10.0-11.0 sec  1.07 MBytes  8.99 Mbits/sec
[  5] 10.0-11.0 sec  2.62 MBytes  22.0 Mbits/sec
[  8] 10.0-11.0 sec  2.81 MBytes  23.5 Mbits/sec
[  9] 10.0-11.0 sec  2.35 MBytes  19.7 Mbits/sec
[ 10] 10.0-11.0 sec  1.60 MBytes  13.4 Mbits/sec
[  7] 10.0-11.0 sec  2.92 MBytes  24.5 Mbits/sec
[ 11] 10.0-11.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 12] 10.0-11.0 sec  1.94 MBytes  16.3 Mbits/sec
[  5] 11.0-12.0 sec  2.47 MBytes  20.8 Mbits/sec
[  4] 11.0-12.0 sec  1.70 MBytes  14.3 Mbits/sec
[  7] 11.0-12.0 sec  2.64 MBytes  22.1 Mbits/sec
[  8] 11.0-12.0 sec  2.61 MBytes  21.9 Mbits/sec
[  9] 11.0-12.0 sec  2.16 MBytes  18.1 Mbits/sec
[ 11] 11.0-12.0 sec  1.59 MBytes  13.4 Mbits/sec
[  6] 11.0-12.0 sec  1.21 MBytes  10.1 Mbits/sec
