------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 47662
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 40271
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 36221
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 40981
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 43054
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 58112
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 47573
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 55003
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 35897
[ ID] Interval       Transfer     Bandwidth
[  6]  0.0- 1.0 sec  1.53 MBytes  12.8 Mbits/sec
[  5]  0.0- 1.0 sec  1.39 MBytes  11.7 Mbits/sec
[  4]  0.0- 1.0 sec  1.66 MBytes  13.9 Mbits/sec
[  7]  0.0- 1.0 sec  1.19 MBytes  10.0 Mbits/sec
[  8]  0.0- 1.0 sec  1.54 MBytes  12.9 Mbits/sec
[ 11]  0.0- 1.0 sec  5.43 MBytes  45.5 Mbits/sec
[  9]  0.0- 1.0 sec  2.53 MBytes  21.2 Mbits/sec
[ 10]  0.0- 1.0 sec  2.43 MBytes  20.4 Mbits/sec
[ 12]  0.0- 1.0 sec  4.00 MBytes  33.6 Mbits/sec
[  6]  1.0- 2.0 sec   707 KBytes  5.79 Mbits/sec
[  5]  1.0- 2.0 sec   537 KBytes  4.40 Mbits/sec
[  4]  1.0- 2.0 sec   704 KBytes  5.77 Mbits/sec
[  7]  1.0- 2.0 sec   707 KBytes  5.79 Mbits/sec
[  9]  1.0- 2.0 sec  2.92 MBytes  24.5 Mbits/sec
[ 11]  1.0- 2.0 sec  6.61 MBytes  55.5 Mbits/sec
[ 10]  1.0- 2.0 sec  2.79 MBytes  23.4 Mbits/sec
[ 12]  1.0- 2.0 sec  4.86 MBytes  40.8 Mbits/sec
