num,norm_time,div_time,dup_time,opt_time,data_size
1,14.7351830006,14.4591209888,14.6306369305,15.3443350792,60000
2,14.7392029762,13.6029908657,14.5540838242,13.7661340237,60000
3,14.6949081421,13.2495670319,14.5001001358,13.0360610485,60000
4,14.805202961,13.0681929588,19.4184751511,17.2802388668,60000
5,14.8414330482,12.1725780964,17.6925590038,16.2631149292,60000
6,14.6928260326,11.9173090458,17.7387909889,16.5482299328,60000
7,14.9445450306,11.9799540043,17.7914140224,14.9520668983,60000
8,14.8796269894,11.9484939575,16.5600631237,14.2325589657,60000
9,14.4966289997,11.9062030315,16.2606739998,13.6607050896,60000
10,14.6937298775,11.4467260838,16.2461280823,13.4235949516,60000
11,14.8496360779,11.845400095,16.2527980804,12.643597126,60000
12,15.6843061447,11.4315640926,15.9175429344,12.4692659378,60000
13,14.8163130283,10.6124079227,14.785998106,12.2722349167,60000
14,15.8135399818,10.8417489529,14.9891369343,11.8008339405,60000
15,14.5607039928,10.75268507,15.0832839012,11.817111969,60000
16,14.8688409328,10.2687950134,14.9496228695,11.3973460197,60000
17,14.723140955,10.8313579559,14.4155490398,11.3105149269,60000
18,14.8887951374,10.6910779476,13.8213689327,10.0783059597,60000
19,14.9455809593,10.4978039265,13.9660801888,10.5493910313,60000
20,14.7420871258,10.3842098713,13.738754034,9.41675496101,60000
21,14.80123806,10.4191009998,13.804749012,10.1255660057,60000
22,15.2059571743,10.2558951378,13.6777689457,9.38627505302,60000
23,15.433423996,10.6083168983,13.9546558857,10.4265899658,60000
24,14.7660009861,11.3242681026,12.7836329937,9.47211909294,60000
25,14.7902591228,9.97284698486,11.9099671841,9.88114905357,60000
26,14.8091938496,10.0341110229,12.5979130268,9.50915002823,60000
27,14.4822309017,9.99450588226,12.4854249954,10.9506611824,60000
28,14.6915111542,10.5013649464,12.903222084,9.50977110863,60000
29,14.675483942,11.0274641514,12.9817461967,9.65087199211,60000
30,14.6635620594,10.5990300179,12.9944281578,10.9004759789,60000
31,14.9360702038,10.1599559784,11.7254111767,9.38012599945,60000
32,14.583917141,10.3259050846,11.2674639225,9.70698189735,60000
33,14.7665100098,10.4036650658,12.0675449371,9.48443889618,60000
34,14.6652419567,10.5092930794,11.7732219696,9.64400815964,60000
35,14.7534761429,9.87091898918,11.5771291256,9.51706695557,60000
36,14.5386331081,11.2753961086,10.6228749752,11.7213690281,60000
37,14.8010289669,11.1957609653,11.2342338562,10.386027813,60000
38,14.9025588036,10.3589761257,11.7019290924,9.72601413727,60000
39,14.8573980331,9.45487189293,11.9790539742,11.377270937,60000
40,14.8332331181,10.4648091793,11.8327798843,10.5229859352,60000
41,14.7906332016,10.6840639114,10.7360141277,9.86314201355,60000
42,14.9370141029,10.4964518547,9.56488609314,11.4081718922,60000
43,14.4611449242,9.70569205284,11.0345258713,9.25456118584,60000
44,14.4356980324,10.1270229816,11.4781768322,9.77500605583,60000
45,14.8348369598,10.5979712009,9.76450204849,8.48518514633,60000
46,14.5344219208,9.47900605202,9.64106583595,9.22873806953,60000
47,14.8577840328,10.1104559898,9.82295203209,10.4551229477,60000
48,14.9392719269,10.0061922073,9.69402599335,9.61859107018,60000
49,14.4281129837,11.5465629101,10.8660728931,8.75782108307,60000
50,14.6965718269,11.6948049068,9.73110389709,9.88669681549,60000
51,14.4067192078,11.5046441555,9.89153289795,8.74432492256,60000
52,14.5643181801,10.506426096,11.618694067,8.77835297585,60000
53,14.685008049,10.5657281876,11.1674251556,10.2632551193,60000
54,14.6621601582,11.139138937,9.77562785149,9.3894970417,60000
55,15.1198101044,9.49827098846,9.60126185417,9.19254302979,60000
56,15.5887181759,11.2150230408,10.1374280453,9.84783697128,60000
57,14.7989258766,9.58434414864,9.89619588852,10.4206631184,60000
58,14.9227318764,11.1299910545,9.70911502838,9.87195205688,60000
59,14.5093050003,10.0582339764,11.8115849495,10.6801249981,60000
60,14.7366449833,11.026848793,10.3405070305,11.6369760036,60000
61,14.4727089405,11.2219400406,9.7261030674,10.0976259708,60000
62,14.6448719501,10.9111919403,11.8201878071,12.3092679977,60000
63,14.6729538441,11.6364159584,10.9258170128,9.98792409897,60000
64,14.7478849888,9.69727993011,10.5177760124,10.853883028,60000
65,15.0229649544,10.4299488068,11.5546410084,11.1338799,60000
66,14.6272699833,9.79840993881,11.484500885,10.5485789776,60000
67,14.6622440815,11.3962008953,10.8872070312,10.5095050335,60000
68,14.4723029137,11.0730669498,10.5390889645,10.0053248405,60000
69,14.5886399746,11.7987689972,10.2808969021,9.75096392632,60000
70,14.6295228004,11.3359451294,12.0683698654,9.93410992622,60000
71,14.7846829891,10.3576629162,11.6580049992,12.1378550529,60000
72,14.6537790298,10.5313558578,10.6426911354,11.1153991222,60000
73,14.7382872105,11.9286460876,9.90788602829,10.5836219788,60000
74,14.5400748253,10.3905050755,10.2593240738,11.9095640182,60000
75,14.6622359753,10.2066631317,10.1329209805,12.053524971,60000
76,14.6824369431,10.4842960835,11.2106769085,11.729074955,60000
77,14.6670980453,11.7880959511,11.4073290825,12.3146891594,60000
78,15.2342050076,10.0540869236,10.8986330032,11.8617370129,60000
79,15.1034638882,10.3881189823,11.0674891472,13.9538440704,60000
80,14.7889559269,12.1941189766,11.5299129486,11.4732170105,60000
81,14.516422987,12.6726620197,11.2856280804,12.7039909363,60000
82,14.5496971607,12.2697050571,10.2902541161,10.3386809826,60000
83,14.653963089,10.3328268528,10.6723849773,12.0423979759,60000
84,14.5951099396,12.3487679958,12.1305150986,12.0953948498,60000
85,14.5763761997,12.2057819366,11.4779598713,12.3459019661,60000
86,14.6934401989,10.555973053,12.0076270103,12.4857671261,60000
87,14.4779458046,10.4299628735,10.7722389698,12.4796681404,60000
88,15.5814239979,12.4359190464,12.2509338856,12.1073050499,60000
89,15.5306749344,11.7035119534,12.1218760014,12.4451351166,60000
90,14.8041379452,12.3326101303,11.6087667942,13.9192609787,60000
91,14.6889989376,10.9434587955,10.4213161469,13.1845149994,60000
92,14.5625040531,12.3932938576,12.3228478432,12.1751489639,60000
93,14.4821269512,10.4238250256,10.8539278507,12.9007389545,60000
94,14.6252000332,12.8007228374,11.3003089428,14.1963617802,60000
95,14.7522659302,12.406329155,12.3207938671,13.1768519878,60000
96,14.4446289539,12.2331669331,10.7991847992,14.0898947716,60000
97,15.2176849842,11.3080420494,12.2748141289,12.3661849499,60000
98,14.9900860786,10.8715188503,11.356292963,13.5854361057,60000
99,14.8439669609,11.2349150181,11.2461109161,12.9198451042,60000
100,14.633731842,10.6504878998,10.6716008186,13.0275008678,60000
