------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[SUM]  0.0- 1.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  1.0- 2.0 sec  0.00 Bytes  0.00 bits/sec
[SUM]  1.0- 2.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  2.0- 3.0 sec  0.00 Bytes  0.00 bits/sec
[SUM]  2.0- 3.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  3.0- 4.0 sec  0.00 Bytes  0.00 bits/sec
[SUM]  3.0- 4.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  4.0- 5.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  5.0- 6.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  6.0- 7.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  7.0- 8.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  8.0- 9.0 sec  0.00 Bytes  0.00 bits/sec
[  8]  9.0-10.0 sec  0.00 Bytes  0.00 bits/sec
[  8] 10.0-11.0 sec  0.00 Bytes  0.00 bits/sec
[  8] 11.0-12.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 23.0-24.0 sec   557 KBytes  4.56 Mbits/sec
[  6] 23.0-24.0 sec   600 KBytes  4.91 Mbits/sec
[  8] 12.0-13.0 sec  2.83 KBytes  23.2 Kbits/sec
[  7] 12.0-13.0 sec  5.66 KBytes  46.3 Kbits/sec
[SUM] 12.0-13.0 sec  8.48 KBytes  69.5 Kbits/sec
[  5] 24.0-25.0 sec   540 KBytes  4.43 Mbits/sec
[  6] 24.0-25.0 sec   605 KBytes  4.96 Mbits/sec
[  4] 23.0-24.0 sec  2.83 KBytes  23.2 Kbits/sec
[  4] 24.0-25.0 sec  0.00 Bytes  0.00 bits/sec
[  8] 13.0-14.0 sec  5.66 KBytes  46.3 Kbits/sec
[  7] 13.0-14.0 sec  11.3 KBytes  92.7 Kbits/sec
[SUM] 13.0-14.0 sec  17.0 KBytes   139 Kbits/sec
[  6] 25.0-26.0 sec   568 KBytes  4.66 Mbits/sec
[  5] 25.0-26.0 sec   563 KBytes  4.61 Mbits/sec
[  4] 25.0-26.0 sec  5.66 KBytes  46.3 Kbits/sec
[  8] 14.0-15.0 sec  11.3 KBytes  92.7 Kbits/sec
[  8] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[  7] 14.0-15.0 sec  22.6 KBytes   185 Kbits/sec
[  7] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 26.0-27.0 sec   529 KBytes  4.33 Mbits/sec
[  6] 26.0-27.0 sec   560 KBytes  4.59 Mbits/sec
[  4] 26.0-27.0 sec  11.3 KBytes  92.7 Kbits/sec
[  8] 16.0-17.0 sec  22.6 KBytes   185 Kbits/sec
[  7] 16.0-17.0 sec  45.2 KBytes   371 Kbits/sec
[SUM] 16.0-17.0 sec  67.9 KBytes   556 Kbits/sec
[  7]  0.0-17.3 sec   128 KBytes  60.7 Kbits/sec
[  5] 27.0-28.0 sec   461 KBytes  3.78 Mbits/sec
[  6] 27.0-28.0 sec   600 KBytes  4.91 Mbits/sec
[  4] 27.0-28.0 sec  55.1 KBytes   452 Kbits/sec
[  8] 17.0-18.0 sec  45.2 KBytes   371 Kbits/sec
[  6] 28.0-29.0 sec   520 KBytes  4.26 Mbits/sec
[  5] 28.0-29.0 sec   481 KBytes  3.94 Mbits/sec
[  4] 28.0-29.0 sec   124 KBytes  1.02 Mbits/sec
[  4] 29.0-30.0 sec  9.90 KBytes  81.1 Kbits/sec
[  6] 29.0-30.0 sec   526 KBytes  4.31 Mbits/sec
[  8] 18.0-19.0 sec  90.5 KBytes   741 Kbits/sec
[  5] 29.0-30.0 sec   619 KBytes  5.07 Mbits/sec
[  6] 30.0-31.0 sec   385 KBytes  3.15 Mbits/sec
[  5] 30.0-31.0 sec   421 KBytes  3.45 Mbits/sec
[  4] 30.0-31.0 sec   407 KBytes  3.34 Mbits/sec
[  8] 19.0-20.0 sec   181 KBytes  1.48 Mbits/sec
[  8] 20.0-21.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 31.0-32.0 sec   881 KBytes  7.22 Mbits/sec
[  6] 31.0-32.0 sec   370 KBytes  3.04 Mbits/sec
[  8] 21.0-22.0 sec   362 KBytes  2.97 Mbits/sec
[  8] 22.0-23.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 31.0-32.0 sec   201 KBytes  1.64 Mbits/sec
[  5] 32.0-33.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 33.0-34.0 sec  0.00 Bytes  0.00 bits/sec
[  6] 32.0-33.0 sec   110 KBytes   904 Kbits/sec
[  6] 33.0-34.0 sec  0.00 Bytes  0.00 bits/sec
[  8] 23.0-24.0 sec  2.83 KBytes  23.2 Kbits/sec
[  6] 34.0-35.0 sec   523 KBytes  4.29 Mbits/sec
[  8] 24.0-25.0 sec   243 KBytes  1.99 Mbits/sec
[  5] 34.0-35.0 sec   730 KBytes  5.98 Mbits/sec
[  5] 35.0-36.0 sec  12.7 KBytes   104 Kbits/sec
[  6] 35.0-36.0 sec   140 KBytes  1.15 Mbits/sec
[  8] 25.0-26.0 sec  91.9 KBytes   753 Kbits/sec
[  6] 36.0-37.0 sec   242 KBytes  1.98 Mbits/sec
[  5] 36.0-37.0 sec   389 KBytes  3.19 Mbits/sec
[  4] 32.0-33.0 sec   471 KBytes  3.86 Mbits/sec
[  4] 33.0-34.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 34.0-35.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 35.0-36.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 36.0-37.0 sec  0.00 Bytes  0.00 bits/sec
[  8] 26.0-27.0 sec   519 KBytes  4.25 Mbits/sec
