------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 35841
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 47282
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 39891
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 57731
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 40602
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 42674
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 54623
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 47193
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 35517
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec  2.04 MBytes  17.1 Mbits/sec
[  5]  0.0- 1.0 sec  4.19 MBytes  35.1 Mbits/sec
[  7]  0.0- 1.0 sec  1.31 MBytes  11.0 Mbits/sec
[  8]  0.0- 1.0 sec  2.32 MBytes  19.5 Mbits/sec
[  9]  0.0- 1.0 sec  4.31 MBytes  36.2 Mbits/sec
[ 10]  0.0- 1.0 sec  2.59 MBytes  21.8 Mbits/sec
[ 11]  0.0- 1.0 sec  2.55 MBytes  21.4 Mbits/sec
[  6]  0.0- 1.0 sec   788 KBytes  6.45 Mbits/sec
[ 12]  0.0- 1.0 sec  2.41 MBytes  20.2 Mbits/sec
[  4]  1.0- 2.0 sec  1.60 MBytes  13.4 Mbits/sec
[  5]  1.0- 2.0 sec  3.93 MBytes  33.0 Mbits/sec
[ 10]  1.0- 2.0 sec  2.45 MBytes  20.5 Mbits/sec
[  8]  1.0- 2.0 sec  2.11 MBytes  17.7 Mbits/sec
[ 12]  1.0- 2.0 sec  2.25 MBytes  18.9 Mbits/sec
[ 11]  1.0- 2.0 sec  2.74 MBytes  23.0 Mbits/sec
[  7]  1.0- 2.0 sec   670 KBytes  5.49 Mbits/sec
[  6]  1.0- 2.0 sec   404 KBytes  3.31 Mbits/sec
[  9]  1.0- 2.0 sec  4.16 MBytes  34.9 Mbits/sec
[  4]  2.0- 3.0 sec  1.82 MBytes  15.3 Mbits/sec
[  5]  2.0- 3.0 sec  4.40 MBytes  36.9 Mbits/sec
[  6]  2.0- 3.0 sec   332 KBytes  2.72 Mbits/sec
[  8]  2.0- 3.0 sec  2.34 MBytes  19.6 Mbits/sec
[  9]  2.0- 3.0 sec  4.65 MBytes  39.0 Mbits/sec
[ 10]  2.0- 3.0 sec  2.76 MBytes  23.2 Mbits/sec
[ 11]  2.0- 3.0 sec  3.46 MBytes  29.0 Mbits/sec
[ 12]  2.0- 3.0 sec  2.49 MBytes  20.9 Mbits/sec
[  7]  2.0- 3.0 sec   276 KBytes  2.26 Mbits/sec
